model,epoch,train_loss,val_loss
SegDINO,137,0.322656,0.355841
SegDINO,138,0.335294,0.356473
SegDINO,139,0.323352,0.353666
SegDINO,140,0.322807,0.354421
SegDINO,141,0.341260,0.355915
SegDINO,142,0.315309,0.353899
SegDINO,143,0.325570,0.355782
SegDINO,144,0.328609,0.357416
SegDINO,145,0.357510,0.354370
SegDINO,146,0.324552,0.356165
SegDINO,147,0.317559,0.353400
SegDINO,148,0.329288,0.355825
SegDINO,149,0.320588,0.353571
SegDINO,150,0.321297,0.352057
SegDINO,151,0.321095,0.353627
SegDINO,152,0.326809,0.354754
SegDINO,153,0.324938,0.352207
SegDINO,154,0.331832,0.352355
SegDINO,155,0.356815,0.354863
SegDINO,156,0.326528,0.355338
SegDINO,157,0.345507,0.355690
SegDINO,158,0.314204,0.353848
SegDINO,159,0.320186,0.354870
SegDINO,160,0.337155,0.354164
SegDINO,161,0.330023,0.353664
SegDINO,162,0.320787,0.354177
SegDINO,163,0.325593,0.355174
SegDINO,164,0.336465,0.355836
SegDINO,165,0.321713,0.354790
ResNet34 + UNet++,0,3.058099,1.859285
ResNet34 + UNet++,1,1.556604,1.069528
ResNet34 + UNet++,2,1.075216,0.753534
ResNet34 + UNet++,3,0.835280,0.616056
ResNet34 + UNet++,4,0.702644,0.553873
ResNet34 + UNet++,5,0.665396,0.511689
ResNet34 + UNet++,6,0.595042,0.506759
ResNet34 + UNet++,7,0.553625,0.442770
ResNet34 + UNet++,8,0.538452,0.441538
ResNet34 + UNet++,9,0.501035,0.413442
ResNet34 + UNet++,10,0.555540,0.406521
ResNet34 + UNet++,11,0.483108,0.381821
ResNet34 + UNet++,12,0.461799,0.385356
ResNet34 + UNet++,13,0.468593,0.372538
ResNet34 + UNet++,14,0.404775,0.372610
ResNet34 + UNet++,15,0.399637,0.365084
ResNet34 + UNet++,16,0.432908,0.355686
ResNet34 + UNet++,17,0.419820,0.355286
ResNet34 + UNet++,18,0.431370,0.359129
ResNet34 + UNet++,19,0.401971,0.358862
ResNet34 + UNet++,20,0.414564,0.351698
ResNet34 + UNet++,21,0.416233,0.342553
ResNet34 + UNet++,22,0.398590,0.339233
ResNet34 + UNet++,23,0.415817,0.342655
ResNet34 + UNet++,24,0.367404,0.338884
ResNet34 + UNet++,25,0.367012,0.335304
ResNet34 + UNet++,26,0.354051,0.335304
ResNet34 + UNet++,27,0.375193,0.355362
ResNet34 + UNet++,28,0.359515,0.335787
