group,sample_id,Unified,Monocot,Dicot
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_1_05,0.928329,0.932029,0.684671
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_2_02,0.903571,0.897286,0.503771
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_3_02,0.859886,0.876729,0.503871
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_3_03,0.927386,0.931443,0.547771
Monocots in - In-distribution Test,Rice_Olympus_Exp11_Rhizotron_WT_3_05,0.882086,0.888214,0.595029
Monocots in - In-distribution Test,Sorghum_C10_Exp3_D3,0.885714,0.878729,0.637914
Monocots in - In-distribution Test,Sorghum_C10_Exp3_G1,0.860757,0.840629,0.679414
Monocots in - In-distribution Test,Sorghum_C10_Exp3_G12,0.866029,0.860371,0.537771
Monocots in - In-distribution Test,Sorghum_C10_Exp3_H3,0.892314,0.887086,0.625200
Monocots in - In-distribution Test,Sorghum_C10_Exp4_E2,0.911471,0.918329,0.537057
Monocots in - In-distribution Test,Sorghum_C10_Exp4_G1,0.870400,0.850986,0.645029
Monocots in - In-distribution Test,Sorghum_C10_Exp4_G6,0.885843,0.883843,0.563900
Monocots in - In-distribution Test,Sorghum_C10_Exp4_H1,0.932233,0.792686,0.740350
Monocots in - In-distribution Test,Sorghum_Olympus_Exp100_LLC2960_03,0.923886,0.921829,0.616071
Monocots in - In-distribution Test,Sorghum_Olympus_Exp100_LLC2960_05,0.939357,0.936329,0.623114
Monocots in - In-distribution Test,Sorghum_Olympus_Exp100_LLC2960_07,0.923100,0.915129,0.584071
Monocots in - In-distribution Test,Sorghum_Olympus_Exp100_LLC2960_11,0.921300,0.920886,0.573857
Monocots in - In-distribution Test,Sorghum_Olympus_Exp100_LLC2960_13,0.919514,0.911543,0.679186
Monocots in - In-distribution Test,Sorghum_Olympus_Exp100_LLC2960_15,0.924057,0.921729,0.715471
Monocots in - In-distribution Test,Sorghum_Olympus_Exp100_LLC2960_20,0.914357,0.908800,0.678486
Monocots in - In-distribution Test,Sorghum_Olympus_Exp16_2_01,0.856629,0.858714,0.692029
Monocots in - In-distribution Test,Sorghum_Olympus_Exp16_2_02,0.809029,0.817500,0.702843
Monocots in - In-distribution Test,Sorghum_Olympus_Exp16_2_04,0.816857,0.812500,0.734700
Monocots in - In-distribution Test,Sorghum_Olympus_Exp16_3_05,0.842871,0.839214,0.543300
Monocots in - In-distribution Test,Sorghum_Olympus_Exp59_1_01,0.921643,0.889357,0.722200
Monocots in - In-distribution Test,Sorghum_Olympus_Exp59_1_07,0.937500,0.939200,0.742614
Monocots in - In-distribution Test,Sorghum_Olympus_Exp59_2_04,0.902171,0.899043,0.641586
Monocots in - In-distribution Test,Sorghum_Olympus_Exp59_2_06,0.902114,0.902400,0.641786
Monocots in - In-distribution Test,Sorghum_Olympus_Exp59_4_04,0.882629,0.875257,0.571800
Monocots in - In-distribution Test,Sorghum_Olympus_Exp71_PDB134_01,0.847629,0.830157,0.618900
Monocots in - In-distribution Test,Sorghum_Olympus_Exp71_PDB134_02,0.888186,0.876186,0.678143
Monocots in - In-distribution Test,Sorghum_Olympus_Exp71_PDB134_04,0.706257,0.714214,0.578500
Monocots in - In-distribution Test,Sorghum_Olympus_Exp71_PDB134_06,0.882500,0.877829,0.713557
Monocots in - In-distribution Test,Sorghum_Olympus_Exp71_PDB134_10,0.836843,0.833686,0.703900
Monocots in - In-distribution Test,Sorghum_Olympus_Exp74_PDB143_01,0.919971,0.914486,0.707686
Monocots in - In-distribution Test,Sorghum_Olympus_Exp74_PDB143_03,0.927100,0.912271,0.697357
Monocots in - In-distribution Test,Sorghum_Olympus_Exp74_PDB143_05,0.931271,0.924814,0.700729
Monocots in - In-distribution Test,Sorghum_Olympus_Exp74_PDB143_14,0.933457,0.928829,0.731214
Monocots in - In-distribution Test,Sorghum_Olympus_Exp74_PDB143_15,0.914114,0.913414,0.742957
Monocots in - In-distribution Test,Sorghum_Olympus_Exp74_PDB143_22,0.923857,0.913414,0.723314
Monocots in - In-distribution Test,Sorghum_Olympus_Exp74_PDB143_24,0.934586,0.931471,0.739686
Monocots in - In-distribution Test,Sorghum_Olympus_Exp75_PDB161_03,0.933686,0.936300,0.654171
Monocots in - In-distribution Test,Sorghum_Olympus_Exp75_PDB161_06,0.922457,0.922829,0.702457
Monocots in - In-distribution Test,Sorghum_Olympus_Exp75_PDB161_07,0.935214,0.926900,0.732571
Monocots in - In-distribution Test,Sorghum_Olympus_Exp75_PDB161_09,0.904900,0.906743,0.640714
Monocots in - In-distribution Test,Sorghum_Olympus_Exp75_PDB161_12,0.936129,0.928600,0.641529
Monocots in - In-distribution Test,Sorghum_Olympus_Exp75_PDB161_16,0.925257,0.919629,0.657100
Monocots in - In-distribution Test,Sorghum_Olympus_Exp75_PDB161_27,0.928771,0.924114,0.712971
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_02,0.928371,0.929671,0.690771
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_03,0.883614,0.874186,0.559271
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_11,0.922729,0.915014,0.685057
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_12,0.903443,0.908886,0.498800
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_13,0.923829,0.929114,0.636771
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_14,0.921057,0.916300,0.631514
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_19,0.914243,0.907843,0.704971
Monocots in - In-distribution Test,Sorghum_Olympus_Exp88_N3_22,0.919714,0.912429,0.751929
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_03,0.902571,0.900786,0.561857
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_05,0.900667,0.773386,0.650583
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_06,0.917443,0.915414,0.606471
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_07,0.901950,0.894417,0.669633
Monocots in - In-distribution Test,Sorghum_Olympus_Exp94_LLC3456_09,0.812700,0.948450,0.811417
