microscope,split,sample_id,species,mean_IoU
Olympus,test,Rice_Olympus_Exp11_Rhizotron_WT_3_05,Rice,0.8675
Olympus,test,Sorghum_Olympus_Exp71_PDB134_06,Sorghum,0.8643
Olympus,test,Sorghum_Olympus_Exp59_4_04,Sorghum,0.8658
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_01,Rice,0.8670
Olympus,test,Sorghum_Olympus_Exp88_N3_03,Sorghum,0.8660
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_01,Rice,0.8657
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_04,Rice,0.8683
Olympus,test,Millet_Olympus_Exp4_1-2cm__16,Millet,0.8665
C10,test,Sorghum_C10_Exp3_D3,Sorghum,0.8690
C10,test,Sorghum_C10_Exp4_G6,Sorghum,0.8712
Olympus,test,Sorghum_Olympus_Exp71_PDB134_02,Sorghum,0.8711
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_04,Rice,0.8750
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_01,Rice,0.8779
Olympus,test,Millet_Olympus_Exp4_1-2cm__26,Millet,0.8744
C10,test,Sorghum_C10_Exp3_H3,Sorghum,0.8764
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_03,Rice,0.8773
Olympus,test,Millet_Olympus_Exp4_1-2cm__81,Millet,0.8842
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_16,Sorghum,0.8844
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_03,Rice,0.8870
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_05,Sorghum,0.8828
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_07,Sorghum,0.8842
Olympus,test,Sorghum_Olympus_Exp59_2_06,Sorghum,0.8874
Olympus,test,Sorghum_Olympus_Exp59_2_04,Sorghum,0.8889
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_03,Sorghum,0.8897
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_01,Rice,0.8890
Olympus,test,Sorghum_Olympus_Exp88_N3_12,Sorghum,0.8901
Olympus,test,Rice_Olympus_Exp11_Rhizotron_WT_2_02,Rice,0.8904
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_03,Rice,0.8937
Olympus,test,Sorghum_Olympus_Exp75_PDB161_09,Sorghum,0.8904
Olympus,test,Millet_Olympus_Exp4_1-2cm__72,Millet,0.8932
C10,test,Rice_C10_Exp7_PSY17-4-d,Rice,0.8950
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_06,Rice,0.8965
C10,test,Sorghum_C10_Exp4_E2,Sorghum,0.8996
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_02,Rice,0.8986
Olympus,test,Tomato_Olympus_Exp12_Suberin_mutants_13-24_19,Solanum,0.8982
Olympus,test,Sorghum_Olympus_Exp74_PDB143_15,Sorghum,0.9010
Olympus,test,Millet_Olympus_Exp4_1-2cm__63,Millet,0.9020
Olympus,test,Sorghum_Olympus_Exp100_LLC2960_20,Sorghum,0.9018
Olympus,test,Sorghum_Olympus_Exp88_N3_19,Sorghum,0.9021
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_11,Sorghum,0.9032
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_05,Rice,0.9044
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_06,Sorghum,0.9053
Olympus,test,Sorghum_Olympus_Exp100_LLC2960_13,Sorghum,0.9079
Olympus,test,Sorghum_Olympus_Exp88_N3_22,Sorghum,0.9095
Olympus,test,Sorghum_Olympus_Exp74_PDB143_01,Sorghum,0.9079
Olympus,test,Sorghum_Olympus_Exp88_N3_14,Sorghum,0.9095
Olympus,test,Sorghum_Olympus_Exp100_LLC2960_11,Sorghum,0.9092
Olympus,test,Sorghum_Olympus_Exp59_1_01,Sorghum,0.9104
C10,test,Rice_C10_Exp10_PSY9-4-b,Rice,0.9109
Olympus,test,Sorghum_Olympus_Exp75_PDB161_06,Sorghum,0.9110
Olympus,test,Sorghum_Olympus_Exp88_N3_11,Sorghum,0.9118
Olympus,test,Rice_Olympus_Exp11_Rhizotron_WT_1_01,Rice,0.9117
Olympus,test,Sorghum_Olympus_Exp100_LLC2960_07,Sorghum,0.9117
Olympus,test,Sorghum_Olympus_Exp88_N3_13,Sorghum,0.9124
Olympus,test,Sorghum_Olympus_Exp100_LLC2960_03,Sorghum,0.9128
Olympus,test,Sorghum_Olympus_Exp74_PDB143_22,Sorghum,0.9129
