species,GT_aerenchyma_ratio,GT_exodermis_TRITC,GT_exodermis_FITC,GT_endodermis_TRITC,GT_endodermis_FITC,Pred_aerenchyma_ratio,Pred_exodermis_TRITC,Pred_exodermis_FITC,Pred_endodermis_TRITC,Pred_endodermis_FITC
Rice,0.002417,1407.804077,1293.771851,2027.296753,1072.863403,0.017095,1412.575928,1294.118042,1996.942383,1054.028931
Rice,0.154172,7081.358398,9625.796875,11953.55566,14096.29785,0.14608,5877.452637,11219.4834,11856.47363,13988.32129
Rice,0.073428,6071.660645,7484.306641,9911.0625,9364.105469,0.073665,4515.341309,7631.017578,10221.24219,9615.816406
Rice,0.10476,7664.57666,7449.210938,10058.38965,10051.54492,0.102396,5538.109863,8507.000977,10303.85449,10255.94043
Rice,0.061912,5370.110352,7396.631348,8894.142578,10265.10352,0.059153,4167.797363,8070.557129,9043.083008,10515.84766
Rice,0.022442,3519.134521,5329.004883,8513.755859,10446.55957,0.016608,2762.210693,6087.680176,8410.702148,10369.00586
Rice,0.036144,4343.347168,5706.979004,12056.27344,12428.88574,0.014649,3201.981934,6693.803223,12119.15137,12578.53516
Rice,0.361836,6174.814453,7311.101074,7722.483398,5963.051758,0.345557,6109.435547,7734.45752,7616.262207,5972.83252
Rice,0.303908,6446.108887,6616.677734,8218.832031,4645.378906,0.302646,6353.17627,6567.50293,8184.203125,4620.638672
Rice,0.305807,6488.750488,6054.944336,9348.454102,5026.117676,0.333937,6309.561035,6488.956055,9504.709961,5116.140137
Rice,0.223564,4736.500977,4944.123535,8589.411133,5044.105469,0.21338,4556.016113,5243.17041,8524.3125,5100.647949
Rice,0.321727,5090.803223,5440.847656,8725.364258,5117.284668,0.322342,5089.440918,5473.935059,8600.291016,5005.89502
Rice,0.287723,5248.707031,7948.629395,7192.73584,6548.635254,0.265574,5258.612793,8000.80957,7316.041992,6700.487793
Rice,0.15556,6272.53418,9375.930664,7234.503418,6478.581055,0.174958,6307.041016,9336.167969,7290.199219,6516.257812
Rice,0.300034,6619.308105,7473.605957,7550.51709,7415.918457,0.290872,6349.820312,8516.359375,7356.92041,7243.486328
Rice,0.195195,6517.428223,12759.12012,7718.039062,9230.193359,0.183516,6491.501953,12835.05469,7851.75293,9288.44043
Rice,0.191176,6806.052734,11229.31543,8658.810547,9132.011719,0.196384,6772.008789,11119.90039,8593.354492,9066.202148
Rice,0.183578,7523.554688,12711.0752,9599.772461,10260.5459,0.193547,7579.37207,12888.8877,9797.378906,10444.83887
Rice,0.387388,4817.039062,7415.012695,7870.927734,7588.65332,0.376877,4563.913574,7201.097168,7760.17627,7574.265137
Rice,0.348282,2401.83252,2663.731445,6057.444824,4939.900879,0.347556,2253.380127,2977.217529,6073.765137,4957.291504
Rice,0.412383,5278.658203,6082.335449,6426.136719,5514.996582,0.395806,5145.536621,6284.291992,6458.854492,5491.100586
Rice,0.263129,4237.128906,3716.71582,7729.913086,4275.806152,0.261781,4272.435059,4198.036621,7882.735352,4290.409668
Sorghum,0.108175448,2838.251221,4309.686523,7219.830566,7338.92041,0.061791741,2992.210205,4203.957031,7154.621094,7308.20459
Sorghum,0.048715265,2726.748291,4013.874023,6272.437012,7046.624023,0.042924948,2740.687744,4044.082275,6316.006836,6929.771484
Sorghum,0.044387791,11601.72656,10975.39648,31896.40039,31312.74023,0.049030531,13934.00879,13004.07227,32035.38672,32737.65625
Sorghum,0.058046643,2862.368408,5015.587891,5611.521973,7431.658203,0.050833973,2894.394287,5069.739258,5537.381836,7302.938965
Sorghum,0.082432281,2719.407715,4421.438965,5770.004883,6186.368164,0.052188507,2726.304199,4449.952148,5804.124023,6204.242676
Sorghum,0.518952231,2715.535156,2870.508545,7203.483398,6404.456543,0.393568537,2694.583984,2947.083252,7170.82959,6383.847656
Sorghum,0.259350506,14502.28613,10018.83301,29528.23438,33159.58594,0.244113376,14684.58301,10099.46094,29702.47461,33802.59766
Sorghum,0.446995171,2379.984863,5073.135254,5446.484375,8715.167969,0.386645678,2368.439941,5100.577637,5395.083984,8667.859375
Sorghum,0.419409477,2789.991699,5114.23584,8494.917969,8452.484375,0.363275746,2773.84082,5210.055664,8457.634766,8409.44043
Sorghum,0.246676156,17709.92578,16732.49805,34867.10547,35495.92578,0.286563427,18178.83008,16827.50977,34931.71484,35791.85547
Sorghum,0.398961704,2529.519287,4416.089355,7285.608398,6796.984863,0.321335189,2527.779541,4452.523926,7298.868164,6792.814941
Sorghum,0.369414904,15686.72266,9102.697266,32494.0918,30791.96484,0.352691489,15860.81934,9125.219727,32606.63867,30842.625
Sorghum,0.310460963,14760.56836,11144.00684,40654.51953,39361.03906,0.339998767,15019.00684,11153.43262,41522.78516,40059.54297
Sorghum,0.32624985,13340.75391,7724.570313,38872.39453,36327.03125,0.419496548,13486.85059,7612.11377,39110.71875,36297.94922
Sorghum,0.449631385,2963.581055,6635.076172,7688.280762,9307.731445,0.429058684,2948.825928,6987.387207,7683.693848,9328.307617
Sorghum,0.261083989,16792.35156,13505.99902,40307.77734,40251.82422,0.386443331,17143.41797,13991.2373,40608.98828,40858.41797
Sorghum,0.439117261,3219.907471,6776.431641,8396.116211,9352.444336,0.398321914,3157.479492,6948.156738,8352.376953,9334.024414
Sorghum,0.397579551,3671.427246,6462.399902,9960.75,10448.82617,0.345384182,3609.568604,6536.196289,9831.321289,10470.64746
Sorghum,0.38637395,2933.204102,6038.794922,6978.641602,7703.505371,0.338959126,2913.366211,6086.743164,6923.679199,7684.96582
Sorghum,0.288289706,4390.147461,1919.60376,20353.94727,35586.52734,0.298021825,4415.337891,1930.560303,20125.11719,35438.80859
Sorghum,0.261627556,3842.371094,2964.418701,14471.16504,31463.80664,0.183922351,3706.193848,3128.776855,14723.20313,31911.99023
