sample_id,species,microscope,experiment,Epidermis_IoU,Epidermis_Dice,Exodermis_IoU,Exodermis_Dice,Cortex_IoU,Cortex_Dice,Aerenchyma_IoU,Aerenchyma_Dice,Endodermis_IoU,Endodermis_Dice,Vascular_IoU,Vascular_Dice,mean_IoU,mean_Dice,split
Sorghum_Olympus_Exp59_4_04,Sorghum,Olympus,Exp59,0.7822,0.8778,0.8683,0.9295,0.9703,0.9849,0.6318,0.7744,0.9498,0.9742,0.9924,0.9962,0.8658,0.9228,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_01,Rice,Olympus,Exp10,0.7909,0.8833,0.9149,0.9555,0.9895,0.9947,0.6308,0.7736,0.9005,0.9477,0.9751,0.9874,0.8670,0.9237,test
Sorghum_Olympus_Exp88_N3_03,Sorghum,Olympus,Exp88,0.8439,0.9154,0.813,0.8969,0.9739,0.9868,0.6439,0.7833,0.9306,0.964,0.9908,0.9954,0.8660,0.9236,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_01,Rice,Olympus,Exp10,0.7581,0.8624,0.6915,0.8176,0.9664,0.9829,0.8676,0.9291,0.9261,0.9616,0.9847,0.9923,0.8657,0.9243,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_04,Rice,Olympus,Exp10,0.7163,0.8347,0.8692,0.93,0.9664,0.9829,0.8566,0.9227,0.8353,0.9103,0.9657,0.9825,0.8683,0.9272,test
Millet_Olympus_Exp4_1-2cm__16,Millet,Olympus,Exp4,0.92,0.9584,0.9703,0.9849,0.9844,0.9922,0.3928,0.564,0.9451,0.9718,0.9864,0.9931,0.8665,0.9107,test
Sorghum_C10_Exp3_D3,Sorghum,C10,Exp3,0.8473,0.9173,0.881,0.9367,0.9769,0.9883,0.6265,0.7704,0.905,0.9501,0.977,0.9884,0.8690,0.9252,test
Sorghum_C10_Exp4_G6,Sorghum,C10,Exp4,0.7379,0.8492,0.8883,0.9409,0.9733,0.9864,0.785,0.8795,0.8655,0.9279,0.977,0.9884,0.8712,0.9287,test
Sorghum_Olympus_Exp71_PDB134_02,Sorghum,Olympus,Exp71,0.851,0.9195,0.8383,0.912,0.9748,0.9872,0.6944,0.8197,0.8862,0.9397,0.9822,0.991,0.8711,0.9282,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_04,Rice,Olympus,Exp10,0.6975,0.8218,0.8911,0.9424,0.9865,0.9932,0.7736,0.8724,0.9184,0.9574,0.9832,0.9915,0.8750,0.9298,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_01,Rice,Olympus,Exp10,0.7079,0.8289,0.8963,0.9453,0.9807,0.9903,0.8276,0.9057,0.8847,0.9389,0.9704,0.985,0.8779,0.9324,test
Millet_Olympus_Exp4_1-2cm__26,Millet,Olympus,Exp4,0.8956,0.9449,0.9612,0.9802,0.9733,0.9865,0.536,0.6979,0.902,0.9485,0.9783,0.989,0.8744,0.9245,test
Sorghum_C10_Exp3_H3,Sorghum,C10,Exp3,0.8488,0.9182,0.8519,0.92,0.9589,0.979,0.7399,0.8505,0.8768,0.9343,0.9821,0.991,0.8764,0.9322,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_03,Rice,Olympus,Exp10,0.8941,0.9441,0.9165,0.9564,0.9663,0.9829,,,0.6892,0.816,0.9203,0.9585,0.8773,0.9316,test
Millet_Olympus_Exp4_1-2cm__81,Millet,Olympus,Exp4,0.8698,0.9304,0.9515,0.9751,0.9775,0.9886,0.5887,0.7411,0.9378,0.9679,0.9798,0.9898,0.8842,0.9321,test
Sorghum_Olympus_Exp94_LLC3456_16,Sorghum,Olympus,Exp94,0.8366,0.911,0.9251,0.9611,0.9854,0.9927,0.6156,0.7621,0.951,0.9749,0.9925,0.9962,0.8844,0.9330,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_03,Rice,Olympus,Exp10,0.7006,0.8239,0.937,0.9675,0.9912,0.9956,0.8045,0.8916,0.9116,0.9538,0.9773,0.9885,0.8870,0.9368,test
Sorghum_Olympus_Exp94_LLC3456_05,Sorghum,Olympus,Exp94,0.8156,0.8984,0.7898,0.8826,0.9681,0.9838,,,0.8548,0.9217,0.9856,0.9928,0.8828,0.9359,test
Sorghum_Olympus_Exp94_LLC3456_07,Sorghum,Olympus,Exp94,0.7725,0.8716,0.7742,0.8727,0.9736,0.9866,,,0.9107,0.9533,0.9898,0.9949,0.8842,0.9358,test
Sorghum_Olympus_Exp59_2_06,Sorghum,Olympus,Exp59,0.8675,0.9291,0.9254,0.9613,0.9852,0.9926,0.6086,0.7567,0.9467,0.9726,0.9913,0.9956,0.8874,0.9347,test
Sorghum_Olympus_Exp59_2_04,Sorghum,Olympus,Exp59,0.8214,0.9019,0.9269,0.9621,0.9868,0.9933,0.6716,0.8035,0.938,0.968,0.9885,0.9942,0.8889,0.9372,test
Sorghum_Olympus_Exp94_LLC3456_03,Sorghum,Olympus,Exp94,0.7774,0.8747,0.9203,0.9585,0.9814,0.9906,0.7805,0.8767,0.8949,0.9446,0.9839,0.9919,0.8897,0.9395,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_01,Rice,Olympus,Exp10,0.7697,0.8698,0.9365,0.9672,0.9924,0.9962,0.742,0.8519,0.9101,0.9529,0.9831,0.9915,0.8890,0.9383,test
Sorghum_Olympus_Exp88_N3_12,Sorghum,Olympus,Exp88,0.8096,0.8948,0.8476,0.9175,0.9774,0.9886,0.7885,0.8818,0.927,0.9621,0.9907,0.9953,0.8901,0.9400,test
Rice_Olympus_Exp11_Rhizotron_WT_2_02,Rice,Olympus,Exp11,0.6847,0.8128,0.8737,0.9326,0.9831,0.9915,0.9011,0.948,0.9175,0.957,0.9824,0.9911,0.8904,0.9388,test
